task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
119	96/d588bc	468097	HYPHY_CAPHEINE:CAPHEINE:HYPHY_ANALYSES:HYPHY_MEME (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007361.1_cds_YP_308668.1_8)	FAILED	140	2025-08-13 22:35:28.380	3h 59m 3s	3h 59m	-	-	-	-	-
121	6c/e3a880	468099	HYPHY_CAPHEINE:CAPHEINE:HYPHY_ANALYSES:HYPHY_BUSTED (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007361.1_cds_YP_308668.1_8)	FAILED	140	2025-08-13 22:35:34.378	3h 59m 27s	3h 59m 25s	-	-	-	-	-
120	d3/56b04b	468098	HYPHY_CAPHEINE:CAPHEINE:HYPHY_ANALYSES:HYPHY_PRIME (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007361.1_cds_YP_308668.1_8)	FAILED	140	2025-08-13 22:35:31.381	3h 59m 30s	3h 59m 25s	-	-	-	-	-
122	10/0e3fe0	468100	HYPHY_CAPHEINE:CAPHEINE:HYPHY_ANALYSES:HYPHY_RELAX (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007361.1_cds_YP_308668.1_8)	FAILED	140	2025-08-13 22:35:37.377	3h 59m 24s	3h 59m 20s	-	-	-	-	-
123	d5/561d3d	468101	HYPHY_CAPHEINE:CAPHEINE:HYPHY_ANALYSES:HYPHY_CONTRASTFEL (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007361.1_cds_YP_308668.1_8)	FAILED	140	2025-08-13 22:35:40.378	3h 59m 21s	3h 59m 15s	-	-	-	-	-
130	e0/3c451a	468104	HYPHY_CAPHEINE:CAPHEINE:HYPHY_ANALYSES:HYPHY_MEME (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007357.1_cds_YP_308664.1_1)	FAILED	140	2025-08-13 22:42:08.398	3h 59m 23s	3h 59m 20s	-	-	-	-	-
127	cd/e0911d	468103	HYPHY_CAPHEINE:CAPHEINE:HYPHY_ANALYSES:HYPHY_FEL (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007357.1_cds_YP_308664.1_1)	FAILED	140	2025-08-13 22:42:06.400	3h 59m 25s	3h 59m 20s	-	-	-	-	-
128	42/7a0c50	468105	HYPHY_CAPHEINE:CAPHEINE:HYPHY_ANALYSES:HYPHY_RELAX (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007357.1_cds_YP_308664.1_1)	FAILED	140	2025-08-13 22:42:11.397	3h 59m 20s	3h 59m 15s	-	-	-	-	-
126	0c/4b0068	468106	HYPHY_CAPHEINE:CAPHEINE:HYPHY_ANALYSES:HYPHY_PRIME (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007357.1_cds_YP_308664.1_1)	FAILED	140	2025-08-13 22:42:14.398	3h 59m 17s	3h 59m 15s	-	-	-	-	-
125	f3/8001a7	468108	HYPHY_CAPHEINE:CAPHEINE:HYPHY_ANALYSES:HYPHY_CONTRASTFEL (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007357.1_cds_YP_308664.1_1)	FAILED	140	2025-08-13 22:42:20.398	3h 59m 11s	3h 59m 10s	-	-	-	-	-
129	4a/b6ba42	468107	HYPHY_CAPHEINE:CAPHEINE:HYPHY_ANALYSES:HYPHY_BUSTED (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007357.1_cds_YP_308664.1_1)	FAILED	140	2025-08-13 22:42:17.397	3h 59m 14s	3h 59m 10s	-	-	-	-	-
